seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,0.8
0,my_custom_sampler,1,1461,0.5111111111111111
0,my_custom_sampler,2,1461,0.4666666666666667
0,my_custom_sampler,3,1461,0.5555555555555556
0,my_custom_sampler,4,1461,0.4222222222222222
0,my_custom_sampler,5,1461,0.5777777777777777
0,my_custom_sampler,6,1461,0.4888888888888889
0,my_custom_sampler,7,1461,0.4888888888888889
0,my_custom_sampler,8,1461,0.4666666666666667
0,my_custom_sampler,9,1461,0.5333333333333333
1,my_custom_sampler,0,1461,0.9555555555555556
1,my_custom_sampler,1,1461,0.4222222222222222
1,my_custom_sampler,2,1461,0.4666666666666667
1,my_custom_sampler,3,1461,0.4666666666666667
1,my_custom_sampler,4,1461,0.4
1,my_custom_sampler,5,1461,0.4444444444444444
1,my_custom_sampler,6,1461,0.4222222222222222
1,my_custom_sampler,7,1461,0.4444444444444444
1,my_custom_sampler,8,1461,0.4888888888888889
1,my_custom_sampler,9,1461,0.4222222222222222
2,my_custom_sampler,0,1461,0.9333333333333332
2,my_custom_sampler,1,1461,0.4444444444444444
2,my_custom_sampler,2,1461,0.3555555555555555
2,my_custom_sampler,3,1461,0.6
2,my_custom_sampler,4,1461,0.4222222222222222
2,my_custom_sampler,5,1461,0.5555555555555556
2,my_custom_sampler,6,1461,0.5333333333333333
2,my_custom_sampler,7,1461,0.5777777777777777
2,my_custom_sampler,8,1461,0.5333333333333333
2,my_custom_sampler,9,1461,0.5555555555555556
3,my_custom_sampler,0,1461,0.5333333333333333
3,my_custom_sampler,1,1461,0.6222222222222222
3,my_custom_sampler,2,1461,0.4888888888888889
3,my_custom_sampler,3,1461,0.5333333333333333
3,my_custom_sampler,4,1461,0.4888888888888889
3,my_custom_sampler,5,1461,0.4
3,my_custom_sampler,6,1461,0.5555555555555556
3,my_custom_sampler,7,1461,0.6222222222222222
3,my_custom_sampler,8,1461,0.5333333333333333
3,my_custom_sampler,9,1461,0.4888888888888889
4,my_custom_sampler,0,1461,0.9777777777777776
4,my_custom_sampler,1,1461,0.5777777777777777
4,my_custom_sampler,2,1461,0.6
4,my_custom_sampler,3,1461,0.5111111111111111
4,my_custom_sampler,4,1461,0.5777777777777777
4,my_custom_sampler,5,1461,0.3777777777777777
4,my_custom_sampler,6,1461,0.4666666666666667
4,my_custom_sampler,7,1461,0.6
4,my_custom_sampler,8,1461,0.5111111111111111
4,my_custom_sampler,9,1461,0.4222222222222222
5,my_custom_sampler,0,1461,0.9777777777777776
5,my_custom_sampler,1,1461,0.4222222222222222
5,my_custom_sampler,2,1461,0.5333333333333333
5,my_custom_sampler,3,1461,0.5777777777777777
5,my_custom_sampler,4,1461,0.5777777777777777
5,my_custom_sampler,5,1461,0.4444444444444444
5,my_custom_sampler,6,1461,0.4444444444444444
5,my_custom_sampler,7,1461,0.6222222222222222
5,my_custom_sampler,8,1461,0.4666666666666667
5,my_custom_sampler,9,1461,0.4888888888888889
6,my_custom_sampler,0,1461,0.7555555555555555
6,my_custom_sampler,1,1461,0.5555555555555556
6,my_custom_sampler,2,1461,0.4444444444444444
6,my_custom_sampler,3,1461,0.5333333333333333
6,my_custom_sampler,4,1461,0.6
6,my_custom_sampler,5,1461,0.4
6,my_custom_sampler,6,1461,0.6
6,my_custom_sampler,7,1461,0.5555555555555556
6,my_custom_sampler,8,1461,0.6
6,my_custom_sampler,9,1461,0.4444444444444444
7,my_custom_sampler,0,1461,0.9777777777777776
7,my_custom_sampler,1,1461,0.5777777777777777
7,my_custom_sampler,2,1461,0.4444444444444444
7,my_custom_sampler,3,1461,0.5111111111111111
7,my_custom_sampler,4,1461,0.5777777777777777
7,my_custom_sampler,5,1461,0.4666666666666667
0,my_custom_sampler,0,1461,0.8
0,my_custom_sampler,1,1461,0.5111111111111111
