seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,0.8888888888888888
0,my_custom_sampler,1,1461,0.8222222222222222
0,my_custom_sampler,2,1461,0.7777777777777778
0,my_custom_sampler,3,1461,0.75
0,my_custom_sampler,4,1461,0.7244444444444444
0,my_custom_sampler,5,1461,0.7481481481481481
0,my_custom_sampler,6,1461,0.746031746031746
0,my_custom_sampler,7,1461,0.725
0,my_custom_sampler,8,1461,0.7061728395061728
0,my_custom_sampler,9,1461,0.7355555555555555
1,my_custom_sampler,0,1461,0.8888888888888888
1,my_custom_sampler,1,1461,0.8555555555555555
1,my_custom_sampler,2,1461,0.8074074074074075
1,my_custom_sampler,3,1461,0.7555555555555555
1,my_custom_sampler,4,1461,0.7555555555555555
1,my_custom_sampler,5,1461,0.762962962962963
1,my_custom_sampler,6,1461,0.7428571428571429
1,my_custom_sampler,7,1461,0.7555555555555555
1,my_custom_sampler,8,1461,0.7432098765432099
1,my_custom_sampler,9,1461,0.74
2,my_custom_sampler,0,1461,0.8666666666666667
2,my_custom_sampler,1,1461,0.8333333333333334
2,my_custom_sampler,2,1461,0.8296296296296296
2,my_custom_sampler,3,1461,0.8277777777777777
2,my_custom_sampler,4,1461,0.7422222222222222
2,my_custom_sampler,5,1461,0.762962962962963
2,my_custom_sampler,6,1461,0.7396825396825397
2,my_custom_sampler,7,1461,0.7333333333333333
2,my_custom_sampler,8,1461,0.7308641975308642
2,my_custom_sampler,9,1461,0.7333333333333333
3,my_custom_sampler,0,1461,0.9555555555555556
3,my_custom_sampler,1,1461,0.7222222222222222
3,my_custom_sampler,2,1461,0.7777777777777778
3,my_custom_sampler,3,1461,0.7611111111111111
3,my_custom_sampler,4,1461,0.76
3,my_custom_sampler,5,1461,0.7518518518518519
3,my_custom_sampler,6,1461,0.7492063492063492
3,my_custom_sampler,7,1461,0.7527777777777778
3,my_custom_sampler,8,1461,0.7407407407407407
3,my_custom_sampler,9,1461,0.7422222222222222
4,my_custom_sampler,0,1461,0.8666666666666667
4,my_custom_sampler,1,1461,0.7888888888888889
4,my_custom_sampler,2,1461,0.7925925925925926
4,my_custom_sampler,3,1461,0.7722222222222223
4,my_custom_sampler,4,1461,0.7866666666666666
4,my_custom_sampler,5,1461,0.7148148148148148
4,my_custom_sampler,6,1461,0.7492063492063492
4,my_custom_sampler,7,1461,0.7555555555555555
4,my_custom_sampler,8,1461,0.7604938271604939
4,my_custom_sampler,9,1461,0.7711111111111111
5,my_custom_sampler,0,1461,0.8888888888888888
5,my_custom_sampler,1,1461,0.8
5,my_custom_sampler,2,1461,0.7925925925925926
5,my_custom_sampler,3,1461,0.7444444444444445
5,my_custom_sampler,4,1461,0.7377777777777778
5,my_custom_sampler,5,1461,0.7407407407407407
5,my_custom_sampler,6,1461,0.7333333333333333
5,my_custom_sampler,7,1461,0.7416666666666667
5,my_custom_sampler,8,1461,0.7283950617283951
5,my_custom_sampler,9,1461,0.7377777777777778
6,my_custom_sampler,0,1461,0.8666666666666667
6,my_custom_sampler,1,1461,0.8444444444444444
6,my_custom_sampler,2,1461,0.8222222222222222
6,my_custom_sampler,3,1461,0.8
6,my_custom_sampler,4,1461,0.8266666666666667
6,my_custom_sampler,5,1461,0.8222222222222222
6,my_custom_sampler,6,1461,0.765079365079365
6,my_custom_sampler,7,1461,0.7444444444444445
6,my_custom_sampler,8,1461,0.7382716049382716
6,my_custom_sampler,9,1461,0.7688888888888888
7,my_custom_sampler,0,1461,0.8666666666666667
7,my_custom_sampler,1,1461,0.8111111111111111
7,my_custom_sampler,2,1461,0.8
7,my_custom_sampler,3,1461,0.8111111111111111
7,my_custom_sampler,4,1461,0.7777777777777778
7,my_custom_sampler,5,1461,0.8037037037037037
0,my_custom_sampler,0,1461,0.8888888888888888
0,my_custom_sampler,1,1461,0.8222222222222222
