seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,1.5402956497696605
0,my_custom_sampler,1,1461,1.053772964670954
0,my_custom_sampler,2,1461,0.9744755472271488
0,my_custom_sampler,3,1461,1.0399290177208371
0,my_custom_sampler,4,1461,1.0006109911537746
0,my_custom_sampler,5,1461,1.010243743084942
0,my_custom_sampler,6,1461,1.0388634722397918
0,my_custom_sampler,7,1461,1.0165822450103328
0,my_custom_sampler,8,1461,0.995554923903844
0,my_custom_sampler,9,1461,1.0188637742709754
1,my_custom_sampler,0,1461,1.7556404227673204
1,my_custom_sampler,1,1461,1.0769900902265772
1,my_custom_sampler,2,1461,1.036319198020618
1,my_custom_sampler,3,1461,1.0117405744159416
1,my_custom_sampler,4,1461,1.015295359531917
1,my_custom_sampler,5,1461,0.9995691801156134
1,my_custom_sampler,6,1461,0.9805930959794322
1,my_custom_sampler,7,1461,0.9719243441136868
1,my_custom_sampler,8,1461,0.973142847967356
1,my_custom_sampler,9,1461,1.000578230938964
2,my_custom_sampler,0,1461,1.6156710705594384
2,my_custom_sampler,1,1461,1.016391898715052
2,my_custom_sampler,2,1461,1.0391377803962851
2,my_custom_sampler,3,1461,1.023886215597131
2,my_custom_sampler,4,1461,1.0304442754715757
2,my_custom_sampler,5,1461,1.0529232221094809
2,my_custom_sampler,6,1461,1.0118312421486235
2,my_custom_sampler,7,1461,1.0095270702526589
2,my_custom_sampler,8,1461,0.998794105598982
2,my_custom_sampler,9,1461,1.0481073712345266
3,my_custom_sampler,0,1461,1.442078681392149
3,my_custom_sampler,1,1461,1.1262276529491422
3,my_custom_sampler,2,1461,1.0457467948675665
3,my_custom_sampler,3,1461,1.0274144140926902
3,my_custom_sampler,4,1461,1.020518825638283
3,my_custom_sampler,5,1461,0.9766372692428088
3,my_custom_sampler,6,1461,0.9814173756650372
3,my_custom_sampler,7,1461,1.0120066800291876
3,my_custom_sampler,8,1461,0.9938025097837134
3,my_custom_sampler,9,1461,1.0232576582886446
4,my_custom_sampler,0,1461,1.4940684560080346
4,my_custom_sampler,1,1461,1.129571863124556
4,my_custom_sampler,2,1461,1.068266749029741
4,my_custom_sampler,3,1461,1.0029195832872586
4,my_custom_sampler,4,1461,1.0157028187207229
4,my_custom_sampler,5,1461,0.9501294812470586
4,my_custom_sampler,6,1461,1.001541501250378
4,my_custom_sampler,7,1461,1.0381543645561069
4,my_custom_sampler,8,1461,1.0076613949062352
4,my_custom_sampler,9,1461,1.0135781419095775
5,my_custom_sampler,0,1461,1.975089462127794
5,my_custom_sampler,1,1461,1.1778752852526675
5,my_custom_sampler,2,1461,1.0258320503991998
5,my_custom_sampler,3,1461,1.008874024440363
5,my_custom_sampler,4,1461,1.0360531540444748
5,my_custom_sampler,5,1461,1.0048216566749064
5,my_custom_sampler,6,1461,0.9975175742741472
5,my_custom_sampler,7,1461,1.0272034014273157
5,my_custom_sampler,8,1461,0.9983946745451068
5,my_custom_sampler,9,1461,1.0026459407630304
6,my_custom_sampler,0,1461,1.6755509016427723
6,my_custom_sampler,1,1461,1.046597741357946
6,my_custom_sampler,2,1461,0.994052313461791
6,my_custom_sampler,3,1461,1.003916331497814
6,my_custom_sampler,4,1461,1.0430556472797896
6,my_custom_sampler,5,1461,1.014208888916414
6,my_custom_sampler,6,1461,1.050361956382989
6,my_custom_sampler,7,1461,0.99905630265631
6,my_custom_sampler,8,1461,1.0284025004570552
6,my_custom_sampler,9,1461,1.0119037970781122
7,my_custom_sampler,0,1461,1.688019166309448
7,my_custom_sampler,1,1461,1.070784741458558
7,my_custom_sampler,2,1461,1.0464365361830554
7,my_custom_sampler,3,1461,0.9810563211218286
7,my_custom_sampler,4,1461,1.0294571771812142
7,my_custom_sampler,5,1461,0.9878423938023824
0,my_custom_sampler,0,1461,1.5402956497696605
0,my_custom_sampler,1,1461,1.053772964670954
0,my_custom_sampler,2,1461,0.9744755472271487
