seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,3.880103745164309
0,my_custom_sampler,1,1461,1.099701502698062
0,my_custom_sampler,2,1461,0.3806651782216596
0,my_custom_sampler,3,1461,0.0240977785466697
0,my_custom_sampler,4,1461,0.2228090624276329
0,my_custom_sampler,5,1461,0.2798379745667346
0,my_custom_sampler,6,1461,0.0617601808340483
0,my_custom_sampler,7,1461,0.0169497418457993
0,my_custom_sampler,8,1461,0.0
0,my_custom_sampler,9,1461,0.1205566684345194
1,my_custom_sampler,0,1461,5.488953508310074
1,my_custom_sampler,1,1461,0.0975342157078903
1,my_custom_sampler,2,1461,0.6907139816565616
1,my_custom_sampler,3,1461,0.1960811620495007
1,my_custom_sampler,4,1461,0.1846149169814726
1,my_custom_sampler,5,1461,0.0
1,my_custom_sampler,6,1461,0.3738892752572478
1,my_custom_sampler,7,1461,0.1521447424061983
1,my_custom_sampler,8,1461,0.7901386715482719
1,my_custom_sampler,9,1461,0.1409625209375113
2,my_custom_sampler,0,1461,2.698345507942969
2,my_custom_sampler,1,1461,0.5037604709593984
2,my_custom_sampler,2,1461,0.831938570665789
2,my_custom_sampler,3,1461,0.0285777660391395
2,my_custom_sampler,4,1461,0.4384185651142391
2,my_custom_sampler,5,1461,0.1175399146125417
2,my_custom_sampler,6,1461,0.0
2,my_custom_sampler,7,1461,0.0543639412036521
2,my_custom_sampler,8,1461,0.0
2,my_custom_sampler,9,1461,0.395964811391549
3,my_custom_sampler,0,1461,3.30185176607356
3,my_custom_sampler,1,1461,2.7821069842510395
3,my_custom_sampler,2,1461,0.3049370013454297
3,my_custom_sampler,3,1461,0.6480631014208712
3,my_custom_sampler,4,1461,0.4106784552934188
3,my_custom_sampler,5,1461,0.0715605353206624
3,my_custom_sampler,6,1461,0.2327699851386203
3,my_custom_sampler,7,1461,0.1795075309175989
3,my_custom_sampler,8,1461,0.0417324870809324
3,my_custom_sampler,9,1461,0.1160806736419131
4,my_custom_sampler,0,1461,6.964364395122411
4,my_custom_sampler,1,1461,0.2237748626930151
4,my_custom_sampler,2,1461,0.774072393435058
4,my_custom_sampler,3,1461,0.5381328232843758
4,my_custom_sampler,4,1461,0.1835358401382449
4,my_custom_sampler,5,1461,0.3601100758088046
4,my_custom_sampler,6,1461,0.0656908363286745
4,my_custom_sampler,7,1461,0.1308593695413074
4,my_custom_sampler,8,1461,0.0214288913837872
4,my_custom_sampler,9,1461,0.0059232165979857
5,my_custom_sampler,0,1461,1.6867157036866358
5,my_custom_sampler,1,1461,0.782751356914604
5,my_custom_sampler,2,1461,0.1621019120819042
5,my_custom_sampler,3,1461,0.8602911252584429
5,my_custom_sampler,4,1461,0.0362301489946065
5,my_custom_sampler,5,1461,0.147505805986757
5,my_custom_sampler,6,1461,0.0714091580077529
5,my_custom_sampler,7,1461,0.1946439090394739
5,my_custom_sampler,8,1461,0.275439442420019
5,my_custom_sampler,9,1461,0.0807503722398063
6,my_custom_sampler,0,1461,3.026040790792309
6,my_custom_sampler,1,1461,1.3016316009991409
6,my_custom_sampler,2,1461,0.5678735001871849
6,my_custom_sampler,3,1461,2.098772549766176
6,my_custom_sampler,4,1461,0.552886173662626
6,my_custom_sampler,5,1461,0.2034929090782376
6,my_custom_sampler,6,1461,0.0812685005423672
6,my_custom_sampler,7,1461,0.8581190295025082
6,my_custom_sampler,8,1461,0.0021515672595233
6,my_custom_sampler,9,1461,0.5251228842155595
7,my_custom_sampler,0,1461,1.746153250044249
7,my_custom_sampler,1,1461,1.4017939787546374
7,my_custom_sampler,2,1461,1.0398781636743322
7,my_custom_sampler,3,1461,0.7880091455644213
7,my_custom_sampler,4,1461,0.1268070385595367
7,my_custom_sampler,5,1461,0.3874449658690051
0,my_custom_sampler,0,1461,3.8801037451643086
0,my_custom_sampler,1,1461,1.0997015026980619
0,my_custom_sampler,2,1461,0.3806651782216596
