seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,1.5073342877369034
0,my_custom_sampler,1,1461,1.184387604915753
0,my_custom_sampler,2,1461,1.1299806662537224
0,my_custom_sampler,3,1461,1.0761465132131096
0,my_custom_sampler,4,1461,1.0656218305421161
0,my_custom_sampler,5,1461,1.047711956886293
0,my_custom_sampler,6,1461,1.035328789745645
0,my_custom_sampler,7,1461,1.0402100341169522
0,my_custom_sampler,8,1461,1.0338478428518547
0,my_custom_sampler,9,1461,1.0316914163137882
1,my_custom_sampler,0,1461,1.7004077432433067
1,my_custom_sampler,1,1461,1.2819833749811451
1,my_custom_sampler,2,1461,1.1496027163527025
1,my_custom_sampler,3,1461,1.1005833240289562
1,my_custom_sampler,4,1461,1.083215933268378
1,my_custom_sampler,5,1461,1.0720897584457096
1,my_custom_sampler,6,1461,1.0592328529536363
1,my_custom_sampler,7,1461,1.0489519168623238
1,my_custom_sampler,8,1461,1.0419098638139237
1,my_custom_sampler,9,1461,1.0394897657599536
2,my_custom_sampler,0,1461,1.5350559293737471
2,my_custom_sampler,1,1461,1.1752836509056472
2,my_custom_sampler,2,1461,1.0934515042294513
2,my_custom_sampler,3,1461,1.075285013602707
2,my_custom_sampler,4,1461,1.0588482237402685
2,my_custom_sampler,5,1461,1.0535340603199046
2,my_custom_sampler,6,1461,1.046263984639861
2,my_custom_sampler,7,1461,1.0414434701919033
2,my_custom_sampler,8,1461,1.0431161233780966
2,my_custom_sampler,9,1461,1.0381824772994783
3,my_custom_sampler,0,1461,1.5079498876988917
3,my_custom_sampler,1,1461,1.1913472399517924
3,my_custom_sampler,2,1461,1.1092361530613695
3,my_custom_sampler,3,1461,1.096913349797345
3,my_custom_sampler,4,1461,1.0818300779152628
3,my_custom_sampler,5,1461,1.0665697729082075
3,my_custom_sampler,6,1461,1.0575471684269266
3,my_custom_sampler,7,1461,1.0545447661795675
3,my_custom_sampler,8,1461,1.0453481193331284
3,my_custom_sampler,9,1461,1.0429136082564303
4,my_custom_sampler,0,1461,1.6387808902589793
4,my_custom_sampler,1,1461,1.2198805931298586
4,my_custom_sampler,2,1461,1.1247082855034427
4,my_custom_sampler,3,1461,1.0854839106532217
4,my_custom_sampler,4,1461,1.0655517768572462
4,my_custom_sampler,5,1461,1.0535161109205151
4,my_custom_sampler,6,1461,1.043424668546579
4,my_custom_sampler,7,1461,1.0389387721464525
4,my_custom_sampler,8,1461,1.0401958117395185
4,my_custom_sampler,9,1461,1.0395952766223522
5,my_custom_sampler,0,1461,1.4861408145220256
5,my_custom_sampler,1,1461,1.1704654879551986
5,my_custom_sampler,2,1461,1.1083903864804165
5,my_custom_sampler,3,1461,1.069645180369852
5,my_custom_sampler,4,1461,1.060219977991128
5,my_custom_sampler,5,1461,1.0505643471406831
5,my_custom_sampler,6,1461,1.037428493313838
5,my_custom_sampler,7,1461,1.0386689296922216
5,my_custom_sampler,8,1461,1.0369244235173622
5,my_custom_sampler,9,1461,1.0375105838739345
6,my_custom_sampler,0,1461,1.6574201271016096
6,my_custom_sampler,1,1461,1.200204037741435
6,my_custom_sampler,2,1461,1.1313970069015853
6,my_custom_sampler,3,1461,1.094247006785454
6,my_custom_sampler,4,1461,1.0815334671827277
6,my_custom_sampler,5,1461,1.0645891453773058
6,my_custom_sampler,6,1461,1.0546425122539607
6,my_custom_sampler,7,1461,1.0508176805584197
6,my_custom_sampler,8,1461,1.0513371398517521
6,my_custom_sampler,9,1461,1.0454720711312115
7,my_custom_sampler,0,1461,1.4699772103357525
7,my_custom_sampler,1,1461,1.1584807763843101
7,my_custom_sampler,2,1461,1.0737990589683897
7,my_custom_sampler,3,1461,1.0599614387233909
7,my_custom_sampler,4,1461,1.054288962069979
7,my_custom_sampler,5,1461,1.0461892361129368
7,my_custom_sampler,6,1461,1.03420123624916
7,my_custom_sampler,7,1461,1.0348430816656167
7,my_custom_sampler,8,1461,1.0319248247645887
7,my_custom_sampler,9,1461,1.0280843359678788
8,my_custom_sampler,0,1461,1.49731117794258
8,my_custom_sampler,1,1461,1.1683697445056764
8,my_custom_sampler,2,1461,1.107839159326432
8,my_custom_sampler,3,1461,1.0761542398567996
8,my_custom_sampler,4,1461,1.0563840228148538
8,my_custom_sampler,5,1461,1.0506604697537458
8,my_custom_sampler,6,1461,1.0430821750740615
8,my_custom_sampler,7,1461,1.0392076485686845
8,my_custom_sampler,8,1461,1.0358568892192883
8,my_custom_sampler,9,1461,1.0343270008050807
9,my_custom_sampler,0,1461,1.5406017792886937
9,my_custom_sampler,1,1461,1.1881353000685304
9,my_custom_sampler,2,1461,1.1146461902619982
9,my_custom_sampler,3,1461,1.0921605239285883
9,my_custom_sampler,4,1461,1.0750676501444303
9,my_custom_sampler,5,1461,1.0651536086679603
9,my_custom_sampler,6,1461,1.0600342282030648
9,my_custom_sampler,7,1461,1.0545425838299536
9,my_custom_sampler,8,1461,1.0476505710488004
9,my_custom_sampler,9,1461,1.0475268922176058
