seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,0.3968164768349055
0,my_custom_sampler,1,1461,0.5337336914639204
0,my_custom_sampler,2,1461,0.6640494513853775
0,my_custom_sampler,3,1461,0.7355665807718738
0,my_custom_sampler,4,1461,0.774161393478932
0,my_custom_sampler,5,1461,0.8106983753635373
0,my_custom_sampler,6,1461,0.8075534581640599
0,my_custom_sampler,7,1461,0.7908142173058426
0,my_custom_sampler,8,1461,0.7748040010297139
0,my_custom_sampler,9,1461,0.7608555043210209
1,my_custom_sampler,0,1461,0.3245127185351772
1,my_custom_sampler,1,1461,0.4928287536139351
1,my_custom_sampler,2,1461,0.5741014878471027
1,my_custom_sampler,3,1461,0.6389705554820849
1,my_custom_sampler,4,1461,0.6449048561421392
1,my_custom_sampler,5,1461,0.6719032603077183
1,my_custom_sampler,6,1461,0.6811098529153318
1,my_custom_sampler,7,1461,0.6927584213004558
1,my_custom_sampler,8,1461,0.6985254683548469
1,my_custom_sampler,9,1461,0.911551909849566
2,my_custom_sampler,0,1461,0.3400919011514872
2,my_custom_sampler,1,1461,0.5376904909344297
2,my_custom_sampler,2,1461,0.5937644752911881
2,my_custom_sampler,3,1461,0.6305626110492111
2,my_custom_sampler,4,1461,0.6391799308744767
2,my_custom_sampler,5,1461,0.6487162390854526
2,my_custom_sampler,6,1461,0.6518628511044455
2,my_custom_sampler,7,1461,0.6495778805415268
2,my_custom_sampler,8,1461,0.6414930077471968
2,my_custom_sampler,9,1461,0.6485079321379582
3,my_custom_sampler,0,1461,0.3404285252260627
3,my_custom_sampler,1,1461,0.5210087261702696
3,my_custom_sampler,2,1461,0.6127815195175373
3,my_custom_sampler,3,1461,0.6271273267105419
3,my_custom_sampler,4,1461,0.6652726846074108
3,my_custom_sampler,5,1461,0.676583429999091
3,my_custom_sampler,6,1461,0.6778748356580718
3,my_custom_sampler,7,1461,0.6920743133625515
3,my_custom_sampler,8,1461,0.6918094144900244
3,my_custom_sampler,9,1461,0.6955143231251467
4,my_custom_sampler,0,1461,0.3213950566033968
4,my_custom_sampler,1,1461,0.5327933582982514
4,my_custom_sampler,2,1461,0.6112302513518723
4,my_custom_sampler,3,1461,0.6549938811913232
4,my_custom_sampler,4,1461,0.6710156046783017
4,my_custom_sampler,5,1461,0.6916879279319064
4,my_custom_sampler,6,1461,0.7023843342721323
4,my_custom_sampler,7,1461,0.7047752596242767
4,my_custom_sampler,8,1461,0.7100585747184114
4,my_custom_sampler,9,1461,0.7127745871340628
5,my_custom_sampler,0,1461,0.3696215556015341
5,my_custom_sampler,1,1461,0.4651905486545297
5,my_custom_sampler,2,1461,0.5612337445058746
5,my_custom_sampler,3,1461,0.6015809651415484
5,my_custom_sampler,4,1461,0.6443629260353265
5,my_custom_sampler,5,1461,0.6615914360865465
5,my_custom_sampler,6,1461,0.6660771239674926
5,my_custom_sampler,7,1461,0.6569402178107688
5,my_custom_sampler,8,1461,0.6615366550056967
5,my_custom_sampler,9,1461,0.6725807485588197
6,my_custom_sampler,0,1461,0.3883358591258688
6,my_custom_sampler,1,1461,0.530877896764175
6,my_custom_sampler,2,1461,0.5774820721006394
6,my_custom_sampler,3,1461,0.6160672479110934
6,my_custom_sampler,4,1461,0.6500260140964061
6,my_custom_sampler,5,1461,0.6818424206951594
6,my_custom_sampler,6,1461,0.6917217638675869
6,my_custom_sampler,7,1461,0.6912386906204054
6,my_custom_sampler,8,1461,0.6935998731742229
6,my_custom_sampler,9,1461,0.6881512706271514
7,my_custom_sampler,0,1461,0.3634211601347297
7,my_custom_sampler,1,1461,0.4546994407865407
7,my_custom_sampler,2,1461,0.5151958620914806
7,my_custom_sampler,3,1461,0.5556030253943379
7,my_custom_sampler,4,1461,0.6458746344029929
7,my_custom_sampler,5,1461,0.6556745660529812
0,my_custom_sampler,0,1461,0.3968164768349055
0,my_custom_sampler,1,1461,0.5337336914639204
0,my_custom_sampler,2,1461,0.6640494513853775
