seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,0.0
0,my_custom_sampler,1,1461,0.0
0,my_custom_sampler,2,1461,0.0
0,my_custom_sampler,3,1461,0.0
0,my_custom_sampler,4,1461,0.0
0,my_custom_sampler,5,1461,0.0
0,my_custom_sampler,6,1461,0.0
0,my_custom_sampler,7,1461,0.0
0,my_custom_sampler,8,1461,0.0
0,my_custom_sampler,9,1461,0.0
1,my_custom_sampler,0,1461,0.0
1,my_custom_sampler,1,1461,0.0
1,my_custom_sampler,2,1461,0.0
1,my_custom_sampler,3,1461,0.0
1,my_custom_sampler,4,1461,0.0
1,my_custom_sampler,5,1461,0.0
1,my_custom_sampler,6,1461,0.0
1,my_custom_sampler,7,1461,0.0
1,my_custom_sampler,8,1461,0.0
1,my_custom_sampler,9,1461,0.0
2,my_custom_sampler,0,1461,0.0
2,my_custom_sampler,1,1461,0.0
2,my_custom_sampler,2,1461,0.0
2,my_custom_sampler,3,1461,0.0
2,my_custom_sampler,4,1461,0.0
2,my_custom_sampler,5,1461,0.0
2,my_custom_sampler,6,1461,0.0
2,my_custom_sampler,7,1461,0.0
2,my_custom_sampler,8,1461,0.0
2,my_custom_sampler,9,1461,0.0
3,my_custom_sampler,0,1461,0.0
3,my_custom_sampler,1,1461,0.0
3,my_custom_sampler,2,1461,0.0
3,my_custom_sampler,3,1461,0.0
3,my_custom_sampler,4,1461,0.0
3,my_custom_sampler,5,1461,0.0
3,my_custom_sampler,6,1461,0.0
3,my_custom_sampler,7,1461,0.0
3,my_custom_sampler,8,1461,0.0
3,my_custom_sampler,9,1461,0.0
4,my_custom_sampler,0,1461,0.0
4,my_custom_sampler,1,1461,0.0
4,my_custom_sampler,2,1461,0.0
4,my_custom_sampler,3,1461,0.0
4,my_custom_sampler,4,1461,0.0
4,my_custom_sampler,5,1461,0.0
4,my_custom_sampler,6,1461,0.0
4,my_custom_sampler,7,1461,0.0
4,my_custom_sampler,8,1461,0.0
4,my_custom_sampler,9,1461,0.0
5,my_custom_sampler,0,1461,0.0
5,my_custom_sampler,1,1461,0.0
5,my_custom_sampler,2,1461,0.0
5,my_custom_sampler,3,1461,0.0
5,my_custom_sampler,4,1461,0.0
5,my_custom_sampler,5,1461,0.0
5,my_custom_sampler,6,1461,0.0
5,my_custom_sampler,7,1461,0.0
5,my_custom_sampler,8,1461,0.0
5,my_custom_sampler,9,1461,0.0
6,my_custom_sampler,0,1461,0.0
6,my_custom_sampler,1,1461,0.0
6,my_custom_sampler,2,1461,0.0
6,my_custom_sampler,3,1461,0.0
6,my_custom_sampler,4,1461,0.0
6,my_custom_sampler,5,1461,0.0
6,my_custom_sampler,6,1461,0.0
6,my_custom_sampler,7,1461,0.0
6,my_custom_sampler,8,1461,0.0
6,my_custom_sampler,9,1461,0.0
7,my_custom_sampler,0,1461,0.0
7,my_custom_sampler,1,1461,0.0
7,my_custom_sampler,2,1461,0.0
7,my_custom_sampler,3,1461,0.0
7,my_custom_sampler,4,1461,0.0
7,my_custom_sampler,5,1461,0.0
7,my_custom_sampler,6,1461,0.0
7,my_custom_sampler,7,1461,0.0
7,my_custom_sampler,8,1461,0.0
7,my_custom_sampler,9,1461,0.0
8,my_custom_sampler,0,1461,0.0
8,my_custom_sampler,1,1461,0.0
8,my_custom_sampler,2,1461,0.0
8,my_custom_sampler,3,1461,0.0
8,my_custom_sampler,4,1461,0.0
8,my_custom_sampler,5,1461,0.0
8,my_custom_sampler,6,1461,0.0
8,my_custom_sampler,7,1461,0.0
8,my_custom_sampler,8,1461,0.0
8,my_custom_sampler,9,1461,0.0
9,my_custom_sampler,0,1461,0.0
9,my_custom_sampler,1,1461,0.0
9,my_custom_sampler,2,1461,0.0
9,my_custom_sampler,3,1461,0.0
9,my_custom_sampler,4,1461,0.0
9,my_custom_sampler,5,1461,0.0
9,my_custom_sampler,6,1461,0.0
9,my_custom_sampler,7,1461,0.0
9,my_custom_sampler,8,1461,0.0
9,my_custom_sampler,9,1461,0.0
